clean_text,category
"writing she the only leader standing for usually watch phone for new updates but true the only thing which get watch priyanka went here and thereis doing thatwill thiscalls modi thief again
provide better news",1.0
yes that’ what the country wants let’ see how long before you start attacking modi and shah again you can hold least till the elections will great achievement,1.0
cause modi didnt promise payment nithallas,0.0
free wifi for development internet opens wide range knowledge treasure have never heard that bjpmodi has ever told that they will give free electricity what wrong free waterit never stops people think abt their development doesnt make them lazy,1.0
modi govt banned counterfeit currency transparencyresponded terror attacksacted against corruptiontax evasionbenami transaction attached properties loan defaulters installed major projects schemes poor all just years empower poor but priyanka unaware,-1.0
assumption right sir rahul will contest from amethi and wayanad but modi having allience with party people say shere akela aata sher khud fati padi dam bolo aapke modi chindi chor amethi lade sir rahul samne,1.0
please answer and see honourable prime minister narendra modi prime minister india again 23rd may 2019 ,0.0
country needs chowkidar does not need rajas and maharajas narendra modi india news times india ,0.0
modi will proud this and still saying give one more chance why not feeling guilty,1.0
this dalla rajdeep stupid when saw that both the scientists giving credit modi then tried blame him saying that thet are taking side bjp anyone criticised upa then this moron rajdeeps ass will burning quickly,-1.0
modi wave its out open those who voted trs assembly elec now openly saying wil vote for bjp ,0.0
arafa how many them would have voted for modi 2014 your opinion,1.0
back modi back modi back modi back modi vote for cycle vote for cycle rises with cbn jai lokesh anna jai telegudesam party,0.0
what moron what your problem why are abusing don’ think that will keep quite reading bullshit around have been supporting modi even before read his name news paper was referring that perticular idiot the tweet did not mean all tamils ,-1.0
"somvirsheoran nation priority security 130 crore people priority balakot not victory the victory soldiers says modi
via namo app",0.0
modi government,0.0
well fyi let inform that verma huge fan trump and modi now can figure out why always make meaningless and tatti type movie,-1.0
his language speaks regular visitor road also shows his standard with language attention seeker filthy mind pervert who got his reply,-1.0
this jerk sanjay jha who made some 100 million and joined politics cash free money talking modi who spend his entire life working for party starting grass root level and comes from modest background,1.0
"every leaders and video recordings with witness and well signatures papers infront cameraand witnesses
thr greatest paltumaar modi ",1.0
yes also this tweet from modi not from pmo account,0.0
mrchowkidar talking about raghuram rajan for your kind information modis period india have more jobless youth last years not against anyone against they bad idealogy that make india helpless poor,1.0
now trio have got together raghu ram rajan chidambaram rahul gandhi they gave birth nirav modi choksi sure nirav must praying that congress wins then comes back and start the loot again,1.0
also scams scammers dalals suffer due modis reckless decisions ,-1.0
you mean modi who ditched advani,-1.0
terming the congress minimum income scheme garibi hatao bsp president mayawati wednesday backed the bjps assessment that was bluff via ,0.0
